Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,2559.949951,2568.850098,2541.100098,2558.350098,2558.350098,7860
2017-01-03,2565.000000,2565.000000,2543.000000,2546.149902,2546.149902,6279
2017-01-04,2555.149902,2588.899902,2551.000000,2583.250000,2583.250000,8192
2017-01-05,2575.550049,2605.000000,2566.050049,2598.250000,2598.250000,6470
2017-01-06,2605.000000,2610.000000,2528.800049,2598.399902,2598.399902,25144
2017-01-09,2598.000000,2610.000000,2590.000000,2604.500000,2604.500000,13862
2017-01-10,2605.500000,2624.949951,2605.199951,2614.800049,2614.800049,7389
2017-01-11,2615.000000,2640.000000,2610.100098,2633.699951,2633.699951,9284
2017-01-12,2640.000000,2658.000000,2626.300049,2651.350098,2651.350098,8914
2017-01-13,2640.000000,2650.000000,2631.600098,2645.050049,2645.050049,4556
2017-01-16,2646.000000,2667.000000,2626.050049,2659.199951,2659.199951,10518
2017-01-17,2661.000000,2688.600098,2654.949951,2679.899902,2679.899902,12037
2017-01-18,2670.000000,2710.000000,2661.100098,2685.649902,2685.649902,7082
2017-01-19,2684.800049,2684.800049,2660.199951,2666.300049,2666.300049,10035
2017-01-20,2667.100098,2678.899902,2661.100098,2668.800049,2668.800049,6979
2017-01-23,2675.000000,2684.000000,2665.100098,2666.449951,2666.449951,4185
2017-01-24,2668.050049,2676.000000,2665.149902,2666.250000,2666.250000,8898
2017-01-25,2666.250000,2666.250000,2649.000000,2652.100098,2652.100098,6512
2017-01-27,2627.000000,2645.000000,2617.050049,2621.500000,2621.500000,7258
2017-01-30,2650.000000,2650.000000,2600.100098,2607.000000,2607.000000,19108
2017-01-31,2628.850098,2638.750000,2620.399902,2630.699951,2630.699951,16191
2017-02-01,2630.000000,2659.699951,2627.550049,2643.350098,2643.350098,8583
2017-02-02,2644.899902,2667.949951,2634.250000,2654.500000,2654.500000,13602
2017-02-03,2654.000000,2654.550049,2640.100098,2644.399902,2644.399902,4706
2017-02-06,2645.000000,2674.199951,2645.000000,2653.699951,2653.699951,8417
2017-02-07,2661.000000,2692.899902,2660.050049,2688.149902,2688.149902,10081
2017-02-08,2676.050049,2700.000000,2672.600098,2694.250000,2694.250000,19135
2017-02-09,2694.250000,2695.000000,2677.000000,2683.699951,2683.699951,5874
2017-02-10,2661.199951,2663.850098,2640.600098,2653.100098,2653.100098,11832
2017-02-13,2656.550049,2664.949951,2642.600098,2645.649902,2645.649902,7705
2017-02-14,2644.850098,2665.050049,2640.149902,2658.399902,2658.399902,13174
2017-02-15,2665.000000,2665.000000,2631.050049,2648.399902,2648.399902,7869
2017-02-16,2655.149902,2677.399902,2652.500000,2668.350098,2668.350098,13509
2017-02-17,2662.199951,2689.000000,2662.199951,2686.399902,2686.399902,10992
2017-02-20,2684.949951,2684.949951,2667.050049,2677.449951,2677.449951,5828
2017-02-21,2670.000000,2677.000000,2656.800049,2659.050049,2659.050049,10923
2017-02-22,2670.000000,2692.000000,2657.500000,2687.699951,2687.699951,25117
2017-02-23,2684.949951,2689.699951,2667.199951,2686.649902,2686.649902,12460
2017-02-27,2700.149902,2716.000000,2695.050049,2707.800049,2707.800049,20742
2017-02-28,2700.050049,2710.699951,2686.050049,2702.149902,2702.149902,10438
2017-03-01,2708.000000,2708.000000,2638.800049,2693.199951,2693.199951,14096
2017-03-02,2694.000000,2697.949951,2676.600098,2686.699951,2686.699951,14165
2017-03-03,2683.000000,2683.000000,2658.399902,2661.850098,2661.850098,7739
2017-03-06,2670.000000,2679.350098,2660.000000,2673.649902,2673.649902,9635
2017-03-07,2670.000000,2670.000000,2655.050049,2656.149902,2656.149902,6109
2017-03-08,2652.199951,2656.100098,2625.000000,2629.250000,2629.250000,20801
2017-03-09,2630.000000,2630.000000,2611.000000,2624.600098,2624.600098,10301
2017-03-10,2618.800049,2618.850098,2604.199951,2611.300049,2611.300049,12172
2017-03-14,2614.800049,2614.800049,2585.500000,2595.850098,2595.850098,11627
2017-03-15,2594.000000,2595.000000,2560.000000,2562.850098,2562.850098,19017
2017-03-16,2600.000000,2604.449951,2577.500000,2596.250000,2596.250000,8601
2017-03-17,2604.850098,2609.600098,2592.100098,2598.949951,2598.949951,11447
2017-03-20,2610.000000,2612.899902,2595.000000,2605.000000,2605.000000,8085
2017-03-21,2602.000000,2608.000000,2592.100098,2606.149902,2606.149902,17257
2017-03-22,2650.000000,2650.000000,2619.000000,2634.800049,2634.800049,19093
2017-03-23,2634.000000,2644.949951,2624.949951,2638.300049,2638.300049,9253
2017-03-24,null,null,null,null,null,null
2017-03-27,2645.149902,2648.000000,2635.949951,2642.699951,2642.699951,23381
2017-03-28,2644.800049,2644.800049,2630.000000,2633.199951,2633.199951,16224
2017-03-29,2650.000000,2650.000000,2616.600098,2628.800049,2628.800049,13531
2017-03-30,2630.000000,2634.899902,2618.500000,2626.899902,2626.899902,6100
2017-03-31,2624.000000,2624.000000,2610.100098,2612.850098,2612.850098,4734
2017-04-03,2620.000000,2627.850098,2605.600098,2608.250000,2608.250000,10375
2017-04-05,2675.000000,2675.000000,2625.000000,2637.100098,2637.100098,26222
2017-04-06,2635.149902,2645.000000,2623.000000,2639.250000,2639.250000,23082
2017-04-07,2655.149902,2664.699951,2642.199951,2651.399902,2651.399902,13411
2017-04-10,2639.850098,2643.850098,2617.050049,2621.050049,2621.050049,12464
2017-04-11,2620.050049,2639.699951,2616.000000,2626.050049,2626.050049,23426
